,HBA,HBD,HBA:HBD,T(K),Tc(K),Pc(bar),Fator Acentrico,Density(kg/m3),Calculado Model 1,Calculado Model 2,Calculado Model 3
1162,Tetrabutylammonium chloride,Triethylene glycol,3;1,313.15,767.65,15.394,0.9198,984.0,988.2544,994.78357,998.5194
570,Choline chloride,Glycerol,1;2.03,313.15,681.0,33.502,1.2277,1183.8,1179.5225,1179.7928,1158.8302
436,Choline chloride,D-Xylose,1;1,313.15,745.4,29.037,1.3153,1248.0,1238.8986,1224.7737,1288.4119
879,Methyl triphenylphosphonium bromide,Glycerol,1;2.03,328.15,831.16,28.884,1.1859,1285.1,1272.1418,1297.1672,1284.9131
747,Choline chloride,Tartaric acid,1;1,296.15,782.84,30.449,1.2866,1260.0,1294.6322,1292.3374,1348.5591
449,Choline chloride,Ethylene glycol,1;1.78,313.15,602.56,40.124,0.9094,1109.6999999999998,1073.9523,1089.1761,1090.3309
80,Acetyl choline chloride,Guaiacol,1;5,293.15,717.76,42.959,0.5056,1152.7,1107.0968,1128.2236,1144.3116
723,Choline chloride,Phenol,1;3,298.2,655.66,47.894,0.5125,1092.1000000000001,1114.3513,1114.284,1099.0656
438,Choline chloride,D-Xylose,1;1,323.15,745.4,29.037,1.3153,1243.0,1232.6196,1221.6831,1286.4154
7,Acetyl choline chloride,D-Fructose,1;1,293.15,844.6,25.637,1.3743,1266.0,1277.1158,1270.272,1286.686
1089,Tetrabutylammonium chloride,Glutamic acid,8;1,343.15,789.04,14.61,0.8895,940.2,948.06165,959.1013,971.8912
159,Allyl triphenylphosphonium bromide,Triethylene glycol,1;4,323.15,817.24,25.162,1.0247,1168.7,1174.9933,1194.6354,1206.0046
964,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;4,328.15,604.66,44.874,0.9488,1084.6,1080.753,1081.5032,1079.5352
137,Allyl triphenylphosphonium bromide,Diethylene glycol,1;10,323.15,709.6,32.969,1.0068,1138.0,1132.7831,1111.43,1152.2524
