,HBA,HBD,HBA:HBD,T(K),Tc(K),Pc(bar),Fator Acentrico,Density(kg/m3),Calculado Model 1,Calculado Model 2,Calculado Model 3
638,Choline chloride,Levulinic acid,1;2,313.15,702.19,35.396,0.7301,1128.0,1109.4142,1134.4647,1120.3062
935,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;2.03,333.15,610.36,39.62,0.9203,1077.8000000000002,1083.4507,1085.2657,1081.0591
448,Choline chloride,Ethylene glycol,1;1.78,308.15,602.56,40.124,0.9094,1112.2,1074.6959,1091.0653,1094.2378
1028,Tetrabutylammonium chloride,Asinine,6;1,303.15,808.05,14.827,0.9025,1004.1999999999999,946.8348,961.69604,985.2511
725,Choline chloride,Phenol,1;3,308.2,655.66,47.894,0.5125,1085.8000000000002,1115.309,1110.8484,1096.7235
557,Choline chloride,Glycerol,1;2,353.15,680.67,33.459,1.2254,1157.5,1149.785,1148.6616,1141.2244
1233,Trimethylglicine,Mandelic acid,1;2,363.15,780.73,35.488,0.8301,1180.0,1212.2341,1248.0393,1243.8375
792,L-proline,Lactic acid,1;1,293.15,721.95,48.538,0.8243,1265.1,1231.0544,1225.9966,1226.1221
443,Choline chloride,D-Xylose,1;1,348.15,745.4,29.037,1.3153,1229.0,1234.1099,1211.2958,1282.5477
429,Choline chloride,D-Sucrose,"1,1",296.15,1084.19,32.369,0.9631,1350.0,1423.17,1406.7185,1304.6235
819,Methyl triphenylphosphonium bromide,Ethylene glycol,1;3,323.15,708.03,37.459,0.9031,1232.3999999999999,1196.2506,1197.7744,1176.6869
353,Choline chloride,"1,4-butanediol",1;4,313.15,639.21,34.288,0.9631,1035.4,1084.8157,1070.6396,1072.2072
428,Choline chloride,D-Sorbitol,1;1,303.15,806.24,26.725,1.4613,1279.4,1285.135,1333.3068,1327.6893
276,benzyldimethyl(2-hydroxyethyl) ammonium chloride,D-Fructose,1;1,303.15,906.55,22.857,1.5331,1236.0,1265.3357,1261.5123,1276.7434
479,Choline chloride,Ethylene glycol,1;2,323.15,602.0,40.993,0.9155,1102.7,1082.6859,1092.2805,1089.6385
517,Choline chloride,Ethylene glycol,1;2.57,353.15,600.98,42.868,0.9278,1084.7,1084.0327,1077.8226,1081.1927
726,Choline chloride,Phenol,1;3,313.2,655.66,47.894,0.5125,1082.8999999999999,1118.676,1113.1299,1096.8491
419,Choline chloride,D-Ribose,1;1,313.15,752.84,26.956,1.326,1258.0,1231.7478,1255.5996,1238.8021
664,Choline chloride,Malonic acid,1;1,323.15,689.82,37.159,0.8577,1215.0,1180.6453,1181.1924,1192.173
943,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;3,298.15,606.72,42.693,0.9378,1101.8,1118.3329,1113.1381,1110.2292
155,Allyl triphenylphosphonium bromide,Triethylene glycol,1;4,303.15,817.24,25.162,1.0247,1183.4,1183.9778,1207.5387,1207.033
1090,Tetrabutylammonium chloride,Glutamic acid,8;1,353.15,789.04,14.61,0.8895,934.0,935.5604,952.07117,967.91895
1166,Tetrabutylammonium chloride,Triethylene glycol,3;1,353.15,767.65,15.394,0.9198,960.0,962.9586,969.559,984.09814
1094,Tetrabutylammonium chloride,Glutamic acid,9;1,333.15,788.15,14.489,0.8863,945.2,953.98724,968.95325,972.80145
840,Methyl triphenylphosphonium bromide,Ethylene glycol,1;4,318.15,684.73,39.865,0.921,1218.5,1214.8245,1214.0349,1205.1017
941,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;2.03,363.15,610.36,39.62,0.9203,1059.0,1072.3003,1075.4634,1076.378
1018,"N,N diethylenethanol ammonium chloride",Glycerol,1;4,323.15,699.38,34.546,1.3207,1204.8000000000002,1201.7386,1219.2449,1197.9458
778,Citric acid,D-Glucose,1;1,296.15,1042.51,26.873,1.914,1450.0,1429.4255,1433.5181,1433.1143
195,Benzyl tripropyl ammonium Chloride,Ethylene Glycol,1;3,338.15,644.1,33.781,0.9375,1036.0,1110.3704,1066.3975,1074.6661
170,Allyl triphenylphosphonium bromide,Triethylene glycol,1;10,323.15,776.85,26.338,1.0689,1136.7,1169.0424,1150.6808,1183.0911
885,Methyl triphenylphosphonium bromide,Glycerol,1;2.03,358.15,831.16,28.884,1.1859,1264.8,1263.5288,1267.6465,1262.0686
1193,Tetraethylammonium bromide,Levulinic acid,1;1,333.15,687.77,28.859,0.6275,1147.3999999999999,1139.3073,1130.0654,1141.2754
51,Acetyl choline chloride,D-Ribose,1;1,318.15,790.74,25.834,1.2391,1242.0,1232.3625,1221.9846,1210.3142
294,benzyldimethyl(2-hydroxyethyl) ammonium chloride,D-Glucose,1;1,328.15,901.37,23.127,1.5158,1235.0,1253.3331,1253.195,1266.7949
150,Allyl triphenylphosphonium bromide,Diethylene glycol,1;16,333.15,696.23,34.033,1.0176,1117.3,1151.5886,1126.1271,1124.3617
309,benzyldimethyl(2-hydroxyethyl) ammonium chloride,D-Mannose,1;1,338.15,908.27,21.009,1.5684,1237.0,1233.2249,1235.9624,1230.8856
484,Choline chloride,Ethylene glycol,1;2,303.15,602.0,40.993,0.9155,1111.3999999999999,1086.651,1106.7588,1105.2655
354,Choline chloride,"1,4-butanediol",1;4,323.15,639.21,34.288,0.9631,1030.6,1087.6798,1072.2698,1070.3438
1203,Tetrahexylammonium bromide,Ethylene glycol,1;2,328.15,710.19,22.824,1.0056,985.4000000000001,1046.3798,1038.4761,1002.0426
1006,"N,N diethylenethanol ammonium chloride",Glycerol,1;3,338.15,695.61,33.703,1.2865,1180.7,1186.7245,1181.6992,1188.6115
167,Allyl triphenylphosphonium bromide,Triethylene glycol,1;10,308.15,776.85,26.338,1.0689,1148.0,1165.9486,1161.1364,1185.2623
952,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;3,343.15,606.72,42.693,0.9378,1074.0,1104.3828,1078.7142,1078.5669
713,Choline chloride,P-Cresol,1;2,323.15,668.78,35.458,0.8887,1047.6000000000001,1120.3157,1097.8462,1127.4344
863,Methyl triphenylphosphonium bromide,Ethylene glycol,1;5.25,358.15,666.5,42.132,0.9354,1176.1,1175.4282,1180.7675,1178.6934
480,Choline chloride,Ethylene glycol,1;2,328.15,602.0,40.993,0.9155,1099.9,1082.439,1090.6469,1086.1425
1037,Tetrabutylammonium chloride,Asinine,7;1,333.15,804.52,14.647,0.8969,970.0999999999999,941.8355,957.8899,973.55457
1159,Tetrabutylammonium chloride,Triethylene glycol,2;1,353.15,763.73,16.172,0.9405,970.0,976.35516,976.097,992.698
